,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,1.0,09:55:00,11:10:00,2019-09-16 07:55:00+00:00,2019-09-16 09:10:00+00:00,CR9,539.905,LH,1812.0,LH,1812.0,1.0,12:50:00,14:50:00,2019-09-16 10:50:00+00:00,2019-09-16 12:50:00+00:00,321,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,1.0,09:55:00,2019-09-16 07:55:00+00:00,14:50:00,2019-09-16 12:50:00+00:00,295.0,1.70021,1.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
1,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,2.0,09:55:00,11:10:00,2019-09-17 07:55:00+00:00,2019-09-17 09:10:00+00:00,CR9,539.905,LH,1812.0,LH,1812.0,2.0,12:50:00,14:50:00,2019-09-17 10:50:00+00:00,2019-09-17 12:50:00+00:00,320,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,2.0,09:55:00,2019-09-17 07:55:00+00:00,14:50:00,2019-09-17 12:50:00+00:00,295.0,1.70021,2.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
2,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,3.0,09:55:00,11:10:00,2019-09-18 07:55:00+00:00,2019-09-18 09:10:00+00:00,E95,539.905,LH,1812.0,LH,1812.0,3.0,12:50:00,14:50:00,2019-09-18 10:50:00+00:00,2019-09-18 12:50:00+00:00,32A,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,3.0,09:55:00,2019-09-18 07:55:00+00:00,14:50:00,2019-09-18 12:50:00+00:00,295.0,1.70021,3.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
3,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,4.0,09:55:00,11:10:00,2019-09-19 07:55:00+00:00,2019-09-19 09:10:00+00:00,CR9,539.905,LH,1812.0,LH,1812.0,4.0,12:50:00,14:50:00,2019-09-19 10:50:00+00:00,2019-09-19 12:50:00+00:00,320,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,4.0,09:55:00,2019-09-19 07:55:00+00:00,14:50:00,2019-09-19 12:50:00+00:00,295.0,1.70021,4.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
4,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,5.0,09:55:00,11:10:00,2019-09-20 07:55:00+00:00,2019-09-20 09:10:00+00:00,E95,539.905,LH,1812.0,LH,1812.0,5.0,12:50:00,14:50:00,2019-09-20 10:50:00+00:00,2019-09-20 12:50:00+00:00,321,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,5.0,09:55:00,2019-09-20 07:55:00+00:00,14:50:00,2019-09-20 12:50:00+00:00,295.0,1.70021,5.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
5,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,6.0,10:00:00,11:15:00,2019-09-21 08:00:00+00:00,2019-09-21 09:15:00+00:00,CR9,539.905,LH,1812.0,LH,1812.0,6.0,12:50:00,14:50:00,2019-09-21 10:50:00+00:00,2019-09-21 12:50:00+00:00,320,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,6.0,10:00:00,2019-09-21 08:00:00+00:00,14:50:00,2019-09-21 12:50:00+00:00,290.0,1.70021,6.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
6,AOI,MUC,MUC,,,BCN,LH,1957.0,LH,1957.0,7.0,09:55:00,11:10:00,2019-09-22 07:55:00+00:00,2019-09-22 09:10:00+00:00,CR9,539.905,LH,1812.0,LH,1812.0,7.0,12:50:00,14:50:00,2019-09-22 10:50:00+00:00,2019-09-22 12:50:00+00:00,321,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,7.0,09:55:00,2019-09-22 07:55:00+00:00,14:50:00,2019-09-22 12:50:00+00:00,295.0,1.70021,7.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
7,AOI,MUC,MUC,,,BCN,LH,1959.0,LH,1959.0,1.0,16:05:00,17:20:00,2019-09-16 14:05:00+00:00,2019-09-16 15:20:00+00:00,CR9,539.905,LH,1816.0,LH,1816.0,1.0,19:20:00,21:20:00,2019-09-16 17:20:00+00:00,2019-09-16 19:20:00+00:00,321,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,1.0,16:05:00,2019-09-16 14:05:00+00:00,21:20:00,2019-09-16 19:20:00+00:00,315.0,1.70021,1.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
8,AOI,MUC,MUC,,,BCN,LH,1959.0,LH,1959.0,2.0,16:05:00,17:20:00,2019-09-17 14:05:00+00:00,2019-09-17 15:20:00+00:00,CR9,539.905,LH,1816.0,LH,1816.0,2.0,19:20:00,21:20:00,2019-09-17 17:20:00+00:00,2019-09-17 19:20:00+00:00,320,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,2.0,16:05:00,2019-09-17 14:05:00+00:00,21:20:00,2019-09-17 19:20:00+00:00,315.0,1.70021,2.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
9,AOI,MUC,MUC,,,BCN,LH,1959.0,LH,1959.0,3.0,16:05:00,17:20:00,2019-09-18 14:05:00+00:00,2019-09-18 15:20:00+00:00,CR9,539.905,LH,1816.0,LH,1816.0,3.0,19:20:00,21:20:00,2019-09-18 17:20:00+00:00,2019-09-18 19:20:00+00:00,320,1097.14,,,,,,,,,,,,1637.05,2.0,201938.0,3.0,16:05:00,2019-09-18 14:05:00+00:00,21:20:00,2019-09-18 19:20:00+00:00,315.0,1.70021,3.0,1.0,,2.0,0.0,0705,AOI-BCN,0.0,0.0
